symbol: THETA-USD | length: 1897 | accuracy: 0.5028993147074328 | cross_val_scores: [0.49726027 0.51324965 0.50692521 0.51187335 0.48820059] | cross_val_scores_avg: 0.5035018147895569 | precision: 0.4859228362877998 | tn: 488, fp: 493, fn: 450, tp: 466 | 
symbol: FRAX-USD | length: 1721 | accuracy: 0.5833817547937246 | cross_val_scores: [0.59552239 0.57954545 0.59480122 0.58831711 0.56730769] | cross_val_scores_avg: 0.5850987730495248 | precision: 0.574761399787911 | tn: 462, fp: 401, fn: 316, tp: 542 | 
symbol: XTZ-USD | length: 1897 | accuracy: 0.48919346336320507 | cross_val_scores: [0.48311307 0.49443561 0.50546448 0.50076336 0.48993289] | cross_val_scores_avg: 0.4947418813315614 | precision: 0.47516778523489933 | tn: 574, fp: 391, fn: 578, tp: 354 | 
symbol: TUSD-USD | length: 1897 | accuracy: 0.6278334211913548 | cross_val_scores: [0.6398929  0.6560425  0.66713483 0.64640884 0.63696809] | cross_val_scores_avg: 0.649289431595831 | precision: 0.6331550802139038 | tn: 599, fp: 343, fn: 363, tp: 592 | 
symbol: HBTC-USD | length: 1721 | accuracy: 0.5438698431144683 | cross_val_scores: [0.51412429 0.52180028 0.52034884 0.50493653 0.51264045] | cross_val_scores_avg: 0.5147700784102336 | precision: 0.5120551090700345 | tn: 490, fp: 425, fn: 360, tp: 446 | 
symbol: CHZ-USD | length: 1897 | accuracy: 0.4944649446494465 | cross_val_scores: [0.51778656 0.4972067  0.49098474 0.5014245  0.49858757] | cross_val_scores_avg: 0.5011980161266669 | precision: 0.48588957055214727 | tn: 542, fp: 419, fn: 540, tp: 396 | 
symbol: USDP-USD | length: 1725 | accuracy: 0.5553623188405797 | cross_val_scores: [0.61971831 0.57675112 0.60588235 0.59432624 0.57879656] | cross_val_scores_avg: 0.5950949166548783 | precision: 0.5458715596330275 | tn: 482, fp: 396, fn: 371, tp: 476 | 
symbol: HT-USD | length: 1725 | accuracy: 0.5020289855072464 | cross_val_scores: [0.51407407 0.49053857 0.50909091 0.48240469 0.49857143] | cross_val_scores_avg: 0.49893593546530585 | precision: 0.49173098125689085 | tn: 420, fp: 461, fn: 398, tp: 446 | 
symbol: BSV-USD | length: 1897 | accuracy: 0.5166051660516605 | cross_val_scores: [0.50322581 0.49931413 0.49936948 0.49019608 0.52762431] | cross_val_scores_avg: 0.5039459612390098 | precision: 0.5172054223149114 | tn: 484, fp: 463, fn: 454, tp: 496 | 
symbol: KCS-USD | length: 1725 | accuracy: 0.5043478260869565 | cross_val_scores: [0.48675497 0.47566719 0.49582638 0.48054146 0.50332226] | cross_val_scores_avg: 0.48842244968655424 | precision: 0.47901591895803186 | tn: 539, fp: 360, fn: 495, tp: 331 | 
symbol: GRT6719-USD | length: 541 | accuracy: 0.4658040665434381 | cross_val_scores: [0.49065421 0.51627907 0.51569507 0.49137931 0.5042735 ] | cross_val_scores_avg: 0.5036562314515648 | precision: 0.4509090909090909 | tn: 128, fp: 151, fn: 138, tp: 124 | 
symbol: FXS-USD | length: 1721 | accuracy: 0.5078442765833817 | cross_val_scores: [0.52680965 0.53003534 0.52734375 0.53751705 0.53206997] | cross_val_scores_avg: 0.5307551522430121 | precision: 0.503800217155266 | tn: 410, fp: 457, fn: 390, tp: 464 | 
symbol: ZEC-USD | length: 1896 | accuracy: 0.5010548523206751 | cross_val_scores: [0.504      0.51128818 0.51256281 0.50330251 0.50273224] | cross_val_scores_avg: 0.506777149005186 | precision: 0.4925847457627119 | tn: 485, fp: 479, fn: 467, tp: 465 | 
symbol: CRV-USD | length: 1897 | accuracy: 0.503953610964681 | cross_val_scores: [0.50432633 0.48768473 0.50119332 0.52578616 0.53963839] | cross_val_scores_avg: 0.5117257850915196 | precision: 0.5156576200417536 | tn: 462, fp: 464, fn: 477, tp: 494 | 
symbol: USDD-USD | length: 1275 | accuracy: 0.5631372549019608 | cross_val_scores: [0.58403361 0.59885932 0.61584158 0.60885609 0.57620042] | cross_val_scores_avg: 0.5967582038581135 | precision: 0.5675675675675675 | tn: 340, fp: 288, fn: 269, tp: 378 | 
symbol: BTTOLD-USD | length: 541 | accuracy: 0.512014787430684 | cross_val_scores: [0.53809524 0.53070175 0.50840336 0.56444444 0.52263374] | cross_val_scores_avg: 0.5328557086252304 | precision: 0.5032679738562091 | tn: 123, fp: 152, fn: 112, tp: 154 | 
symbol: TWT-USD | length: 1897 | accuracy: 0.49235635213494994 | cross_val_scores: [0.49555273 0.50787402 0.51612903 0.5        0.4868603 ] | cross_val_scores_avg: 0.5012832168374104 | precision: 0.5036119711042312 | tn: 446, fp: 481, fn: 482, tp: 488 | 
symbol: MINA-USD | length: 1710 | accuracy: 0.5263157894736842 | cross_val_scores: [0.53138075 0.53343239 0.52272727 0.52615845 0.52056555] | cross_val_scores_avg: 0.5268528832557873 | precision: 0.5285252960172229 | tn: 409, fp: 438, fn: 372, tp: 491 | 
symbol: XEC-USD | length: 1721 | accuracy: 0.5078442765833817 | cross_val_scores: [0.48424544 0.48171701 0.5015015  0.51227496 0.5027027 ] | cross_val_scores_avg: 0.4964883227771539 | precision: 0.4898236092265943 | tn: 513, fp: 376, fn: 471, tp: 361 | 
symbol: BTT-USD | length: 1897 | accuracy: 0.5013178703215604 | cross_val_scores: [0.53562945 0.53872054 0.54452055 0.52375566 0.53575358] | cross_val_scores_avg: 0.5356759543627175 | precision: 0.49156829679595276 | tn: 368, fp: 603, fn: 343, tp: 583 | 
symbol: DASH-USD | length: 1897 | accuracy: 0.5144965735371639 | cross_val_scores: [0.48748159 0.46460177 0.50138889 0.50146628 0.49149923] | cross_val_scores_avg: 0.48928755044741284 | precision: 0.5277108433734939 | tn: 538, fp: 392, fn: 529, tp: 438 | 
symbol: CAKE-USD | length: 1897 | accuracy: 0.5076436478650501 | cross_val_scores: [0.46590909 0.48773449 0.50523169 0.51267606 0.50080515] | cross_val_scores_avg: 0.4944712954097728 | precision: 0.5047106325706595 | tn: 588, fp: 368, fn: 566, tp: 375 | 
symbol: MKR-USD | length: 1897 | accuracy: 0.49604638903531895 | cross_val_scores: [0.50755668 0.50928382 0.51315789 0.50132626 0.47669774] | cross_val_scores_avg: 0.5016044771453885 | precision: 0.49073064340239914 | tn: 491, fp: 467, fn: 489, tp: 450 | 
symbol: MIOTA-USD | length: 1897 | accuracy: 0.4965735371639431 | cross_val_scores: [0.51304348 0.47543582 0.4948605  0.50151976 0.50398724] | cross_val_scores_avg: 0.497769358271945 | precision: 0.4710526315789474 | tn: 584, fp: 402, fn: 553, tp: 358 | 
symbol: FTT-USD | length: 1897 | accuracy: 0.5050079072219293 | cross_val_scores: [0.48917749 0.51408451 0.50212766 0.50148368 0.49295775] | cross_val_scores_avg: 0.49996621635966126 | precision: 0.5464025026068822 | tn: 434, fp: 435, fn: 504, tp: 524 | 
symbol: KLAY-USD | length: 1725 | accuracy: 0.4915942028985507 | cross_val_scores: [0.51660027 0.50594452 0.51683938 0.51518987 0.48992443] | cross_val_scores_avg: 0.5088996936686474 | precision: 0.4689589302769819 | tn: 357, fp: 556, fn: 321, tp: 491 | 
symbol: TNC5524-USD | length: 541 | accuracy: 0.5988909426987061 | cross_val_scores: [0.52777778 0.50738916 0.56108597 0.543379   0.51658768] | cross_val_scores_avg: 0.5312439172697883 | precision: 0.5797665369649806 | tn: 175, fp: 108, fn: 109, tp: 149 | 
symbol: GUSD-USD | length: 1725 | accuracy: 0.5918840579710145 | cross_val_scores: [0.60471567 0.59705489 0.60992908 0.60699301 0.61386139] | cross_val_scores_avg: 0.6065108060068312 | precision: 0.5812641083521445 | tn: 506, fp: 371, fn: 333, tp: 515 | 
symbol: RUNE-USD | length: 1896 | accuracy: 0.49841772151898733 | cross_val_scores: [0.50431566 0.50261097 0.49807939 0.51014885 0.48787447] | cross_val_scores_avg: 0.500605865197426 | precision: 0.4726522187822497 | tn: 487, fp: 511, fn: 440, tp: 458 | 
